period,item,value
FY2021,売上高,500000
FY2021,売上原価,350000
FY2021,販売費及び一般管理費,100000
FY2021,営業利益,50000
FY2021,営業外収益,2000
FY2021,営業外費用,4000
FY2021,経常利益,48000
FY2021,当期純利益,30000
FY2021,現金及び預金,60000
FY2021,売上債権,80000
FY2021,棚卸資産,60000
FY2021,流動資産合計,220000
FY2021,有形固定資産,150000
FY2021,固定資産合計,180000
FY2021,資産合計,400000
FY2021,流動負債合計,120000
FY2021,固定負債合計,80000
FY2021,負債合計,200000
FY2021,純資産合計,200000
FY2022,売上高,480000
FY2022,売上原価,340000
FY2022,販売費及び一般管理費,98000
FY2022,営業利益,42000
FY2022,営業外収益,1500
FY2022,営業外費用,4500
FY2022,経常利益,39000
FY2022,当期純利益,20000
FY2022,現金及び預金,50000
FY2022,売上債権,85000
FY2022,棚卸資産,65000
FY2022,流動資産合計,220000
FY2022,有形固定資産,148000
FY2022,固定資産合計,178000
FY2022,資産合計,398000
FY2022,流動負債合計,125000
FY2022,固定負債合計,78000
FY2022,負債合計,203000
FY2022,純資産合計,195000
FY2023,売上高,430000
FY2023,売上原価,320000
FY2023,販売費及び一般管理費,95000
FY2023,営業利益,15000
FY2023,営業外収益,1000
FY2023,営業外費用,6000
FY2023,経常利益,10000
FY2023,当期純利益,2000
FY2023,現金及び預金,30000
FY2023,売上債権,95000
FY2023,棚卸資産,80000
FY2023,流動資産合計,225000
FY2023,有形固定資産,145000
FY2023,固定資産合計,175000
FY2023,資産合計,400000
FY2023,流動負債合計,140000
FY2023,固定負債合計,85000
FY2023,負債合計,225000
FY2023,純資産合計,175000
